,City,latitude,longitude,Tipo,Bedrooms,Bathrooms,Surface,Zone,Zone_Val,Price_USD,Price_m2_USD
376,Ciudad de Guatemala,14.595,-90.495,42021,5,4,272.0,Zona 15,15,350000.0,1286.76
377,Ciudad de Guatemala,14.595,-90.521,42021,4,3,345.0,Zona 9,9,290000.0,840.58
378,Ciudad de Guatemala,14.595,-90.495,42020,1,2,90.0,Zona 15,15,160000.0,1777.78
380,Mixco,14.655,-90.542,42020,3,3,89.0,Zona 4 de Mixco,4,124183.01,1395.31
381,Ciudad de Guatemala,14.624,-90.498,42021,5,3,200.0,Zona 5,5,111111.11,555.56
382,Ciudad de Guatemala,14.61,-90.483,42021,3,2,260.0,Zona 16,16,298000.0,1146.15
384,Ciudad de Guatemala,14.595,-90.495,42020,3,2,172.98,Zona 15,15,270000.0,1560.87
385,Ciudad de Guatemala,14.61,-90.493,42021,4,4,457.04,Zona 16,16,975000.0,2133.29
386,Ciudad de Guatemala,14.673,-90.514,42021,3,3,180.0,Zona 2,2,180000.0,1000.0
387,Ciudad de Guatemala,14.639,-90.56,42020,2,2,78.0,Zona 7,7,100653.59,1290.43
388,Ciudad de Guatemala,14.595,-90.504,42021,3,2,242.0,Zona 10,10,340000.0,1404.96
389,Ciudad de Guatemala,14.596,-90.51,42021,3,2,411.0,Zona 10,10,545000.0,1326.03
390,Ciudad de Guatemala,14.595,-90.504,42020,3,2,272.0,Zona 10,10,585000.0,2150.74
391,Ciudad de Guatemala,14.678,-90.514,42021,4,3,159.229,Zona 2,2,222222.22,1395.61
392,Ciudad de Guatemala,14.609,-90.486,42020,3,3,218.0,Zona 16,16,525000.0,2408.26
393,Ciudad de Guatemala,14.595,-90.509,42021,3,2,260.0,Zona 10,10,285000.0,1096.15
394,Ciudad de Guatemala,14.595,-90.504,42020,3,2,181.0,Zona 10,10,259000.0,1430.94
395,Ciudad de Guatemala,14.595,-90.495,42020,2,1,128.0,Zona 15,15,188810.0,1475.08
396,Ciudad de Guatemala,14.595,-90.495,42020,2,2,123.0,Zona 15,15,172274.0,1400.6
397,Ciudad de Guatemala,14.634,-90.506,42020,2,2,147.0,Zona 1,1,339360.0,2308.57
398,Ciudad de Guatemala,14.595,-90.495,42020,3,2,100.0,Zona 15,15,190000.0,1900.0
399,Ciudad de Guatemala,14.592,-90.506,42021,4,5,252.0,Zona 10,10,310000.0,1230.16
400,Ciudad de Guatemala,14.639,-90.51,42021,5,3,500.0,Zona 1,1,202614.38,405.23
401,Ciudad de Guatemala,14.595,-90.504,42021,3,2,455.0,Zona 10,10,470000.0,1032.97
402,Ciudad de Guatemala,14.595,-90.495,42020,2,2,66.0,Zona 15,15,134326.8,2035.25
403,Ciudad de Guatemala,14.595,-90.521,42021,4,2,301.0,Zona 9,9,285000.0,946.84
404,Ciudad de Guatemala,14.612,-90.493,42021,4,8,670.0,Zona 16,16,1275000.0,1902.99
405,Ciudad de Guatemala,14.612,-90.493,42020,3,4,284.0,Zona 16,16,640000.0,2253.52
406,Ciudad de Guatemala,14.612,-90.493,42020,3,4,340.0,Zona 16,16,750000.0,2205.88
407,Ciudad de Guatemala,14.612,-90.493,42020,3,4,340.0,Zona 16,16,668000.0,1964.71
408,Ciudad de Guatemala,14.595,-90.504,42020,3,1,120.0,Zona 10,10,160000.0,1333.33
409,Ciudad de Guatemala,14.612,-90.493,42020,2,3,240.0,Zona 16,16,485000.0,2020.83
411,Ciudad de Guatemala,14.635,-90.541,42020,3,3,90.0,Zona 7,7,96470.59,1071.9
412,Ciudad de Guatemala,14.61,-90.483,42021,3,3,288.0,Zona 16,16,241830.07,839.69
413,Ciudad de Guatemala,14.666,-90.508,42021,3,2,120.0,Zona 2,2,74000.0,616.67
414,Ciudad de Guatemala,14.64,-90.514,42021,5,4,273.0,Zona 1,1,200000.0,732.6
415,Ciudad de Guatemala,14.595,-90.504,42021,3,3,156.0,Zona 10,10,83660.13,536.28
416,Ciudad de Guatemala,14.643,-90.506,42021,3,1,172.7,Zona 1,1,78431.37,454.15
417,Ciudad de Guatemala,14.652,-90.516,42021,4,3,215.0,Zona 1,1,222000.0,1032.56
418,Ciudad de Guatemala,14.595,-90.504,42020,3,2,125.53,Zona 10,10,280000.0,2230.54
419,Ciudad de Guatemala,14.625,-90.499,42020,2,3,90.0,Zona 5,5,104183.01,1157.59
421,Ciudad de Guatemala,14.595,-90.495,42020,3,3,170.0,Zona 15,15,270000.0,1588.24
422,Ciudad de Guatemala,14.641,-90.556,42020,3,3,163.0,Zona 7,7,152000.0,932.52
423,Ciudad de Guatemala,14.595,-90.495,42020,3,3,103.0,Zona 15,15,200000.0,1941.75
424,Ciudad de Guatemala,14.595,-90.495,42020,3,4,252.0,Zona 15,15,340000.0,1349.21
425,Ciudad de Guatemala,14.595,-90.521,42020,3,2,120.0,Zona 9,9,110000.0,916.67
426,Ciudad de Guatemala,14.595,-90.495,42021,4,4,400.0,Zona 15,15,450000.0,1125.0
427,Ciudad de Guatemala,14.598,-90.501,42021,8,9,500.0,Zona 10,10,1250000.0,2500.0
428,Ciudad de Guatemala,14.619,-90.517,42020,1,1,58.0,Zona 4,4,125000.0,2155.17
429,Ciudad de Guatemala,14.619,-90.517,42020,2,1,50.0,Zona 4,4,130000.0,2600.0
430,Ciudad de Guatemala,14.624,-90.499,42020,3,2,110.0,Zona 5,5,182843.66,1662.22
431,Ciudad de Guatemala,14.639,-90.51,42020,1,2,44.0,Zona 1,1,125000.0,2840.91
432,Ciudad de Guatemala,14.61,-90.483,42021,3,2,325.0,Zona 16,16,250000.0,769.23
433,Ciudad de Guatemala,14.595,-90.495,42020,1,1,91.0,Zona 15,15,144922.0,1592.55
434,Mixco,14.657,-90.556,42021,3,4,174.0,Zona 4 de Mixco,4,153699.35,883.33
435,Ciudad de Guatemala,14.62,-90.467,42021,3,3,240.0,Zona 16,16,260000.0,1083.33
436,Ciudad de Guatemala,14.631,-90.551,42021,3,2,175.0,Zona 7,7,124183.01,709.62
437,Ciudad de Guatemala,14.651,-90.542,42021,6,4,300.0,Zona 7,7,111111.11,370.37
438,Ciudad de Guatemala,14.675,-90.484,42021,3,2,200.0,Zona 6,6,113725.49,568.63
439,Mixco,14.655,-90.542,42021,3,3,131.0,Zona 4 de Mixco,4,180000.0,1374.05
440,Ciudad de Guatemala,14.629,-90.559,42021,4,0,250.0,Zona 7,7,177000.0,708.0
441,Ciudad de Guatemala,14.592,-90.508,42020,2,0,70.0,Zona 10,10,187000.0,2671.43
442,Ciudad de Guatemala,14.592,-90.509,42020,4,0,365.0,Zona 10,10,850000.0,2328.77
443,Ciudad de Guatemala,14.622,-90.518,42020,2,0,50.0,Zona 4,4,131580.0,2631.6
444,Ciudad de Guatemala,14.622,-90.518,42020,1,0,31.0,Zona 4,4,79640.0,2569.03
