revision,price_usd,zona,created_at_first,created_at,days_old,number_of_bedrooms,number_of_bathrooms,m2,latitude,longitude
8,540000,Zona 16,5/13/20,5/14/20,1.00,2.00,2.00,218.00,14.618,-90.477
7,201299,Zona 16,5/13/20,5/14/20,1.00,4.00,5.00,230.00,14.618,-90.471
5,1500000,,5/13/20,5/13/20,0.00,3.00,4.00,687.00,14.634,-90.506
47,420000,Zona 10,5/13/20,6/3/20,21.00,2.00,3.00,239.00,14.597,-90.502
241,385000,Zona 15,2/11/20,6/3/20,113.00,3.00,2.00,268.00,14.598,-90.493
4,1168831,Zona 7,5/12/20,5/12/20,0.00,10.00,10.00,1844.00,14.637,-90.538
5,298000,Zona 7,5/12/20,5/12/20,0.00,4.00,2.00,176.00,14.637,-90.551
16,144349,Zona 10,2/7/20,5/28/20,111.00,1.00,2.00,63.52,14.591,-90.505
5,207792,Zona 3,5/12/20,5/12/20,0.00,3.00,3.00,250.00,14.636,-90.527
49,175325,Zona 1,5/12/20,6/3/20,22.00,6.00,3.00,190.00,14.646,-90.505
49,300000,Zona 15,5/12/20,6/3/20,22.00,3.00,3.00,254.00,14.597,-90.493
14,230000,Zona 9,2/11/20,5/12/20,91.00,3.00,3.00,225.00,14.595,-90.521
6,150000,Zona 2,5/11/20,5/21/20,10.00,4.00,6.00,220.00,14.666,-90.501
15,111039,,2/5/20,5/28/20,113.00,3.00,2.00,160.00,14.634,-90.506
5,113896,Zona 11,5/11/20,5/11/20,0.00,3.00,2.00,65.00,14.607,-90.548
11,126623,Zona 1,5/11/20,5/11/20,0.00,6.00,4.00,250.00,14.643,-90.502
5,320000,Zona 15,5/11/20,5/11/20,0.00,2.00,2.00,197.00,14.599,-90.493
5,210000,Zona 15,5/11/20,5/11/20,0.00,2.00,2.00,120.80,14.599,-90.493
5,422078,Zona 2,5/11/20,5/11/20,0.00,5.00,4.00,515.00,14.666,-90.508
7,116234,Zona 17,5/10/20,5/10/20,0.00,3.00,2.00,92.00,14.643,-90.466
241,425000,Zona 15,2/6/20,6/3/20,118.00,3.00,5.00,255.00,14.597,-90.493
339,198000,Zona 1,1/16/20,6/3/20,139.00,3.00,3.00,238.00,14.636,-90.505
345,130897,Zona 7,1/16/20,6/3/20,139.00,3.00,2.00,101.00,14.647,-90.536
342,111727,Zona 1,1/16/20,6/3/20,139.00,3.00,2.00,66.00,14.642,-90.499
345,150000,Zona 7,1/16/20,6/3/20,139.00,3.00,3.00,183.00,14.63,-90.538
60,116000,Zona 11,5/7/20,6/3/20,27.00,3.00,2.00,95.00,14.605,-90.545
5,789000,,5/6/20,5/6/20,0.00,3.00,3.00,475.00,14.634,-90.506
11,325000,Zona 4 de Mixco,1/20/20,5/6/20,107.00,4.00,4.00,246.30,14.655,-90.542
10,220000,Zona 15,2/4/20,5/6/20,92.00,2.00,2.00,110.00,14.608,-90.488
4,259740,Zona 5,5/6/20,5/6/20,0.00,4.00,2.00,120.00,14.625,-90.499
5,116883,Zona 3,5/6/20,5/6/20,0.00,4.00,3.00,25.00,14.631,-90.526
5,260000,Zona 9,5/6/20,5/6/20,0.00,4.00,3.00,390.00,14.595,-90.521
12,350000,Zona 10,1/23/20,5/6/20,104.00,3.00,3.00,179.00,14.599,-90.509
5,77532,Zona 1,5/6/20,5/6/20,0.00,2.00,2.00,60.00,14.646,-90.504
13,188312,Zona 16,12/11/19,5/6/20,147.00,5.00,4.00,280.00,14.614,-90.483
9,59091,,5/6/20,5/14/20,8.00,2.00,1.00,70.00,14.634,-90.506
61,544640,Zona 11,5/6/20,6/3/20,28.00,10.00,10.00,463.00,14.606,-90.548
61,331350,Zona 11,5/6/20,6/3/20,28.00,6.00,6.00,278.00,14.606,-90.547
8,295000,Zona 15,5/5/20,5/18/20,13.00,6.00,2.00,255.00,14.599,-90.493
13,139610,Zona 7,7/18/19,5/5/20,292.00,3.00,2.00,172.00,14.645,-90.538
11,125000,Zona 4,2/4/20,5/5/20,91.00,1.00,1.00,65.00,14.61,-90.506
11,975000,Zona 15,2/3/20,5/5/20,92.00,6.00,6.00,457.00,14.613,-90.492
10,380000,Zona 10,2/4/20,5/5/20,91.00,4.00,4.00,266.00,14.591,-90.503
63,123500,Zona 11,5/5/20,6/3/20,29.00,2.00,2.00,93.00,14.606,-90.545
63,437960,Zona 16,5/5/20,6/3/20,29.00,3.00,3.00,208.00,14.611,-90.485
64,121000,Zona 11,5/5/20,6/3/20,29.00,2.00,2.00,93.00,14.606,-90.545
68,134300,Zona 11,5/5/20,6/3/20,29.00,3.00,2.00,102.00,14.606,-90.545
36,50260,Zona 4,5/5/20,5/21/20,16.00,1.00,1.00,25.00,14.62,-90.515
58,123117,Zona 1,5/5/20,6/3/20,29.00,3.00,2.00,65.00,14.643,-90.511
58,75974,Zona 4,5/5/20,6/3/20,29.00,2.00,1.00,36.00,14.62,-90.515
9,160000,Zona 10,5/5/20,5/7/20,2.00,2.00,2.00,75.00,14.598,-90.507
9,208000,Zona 7,2/4/20,5/5/20,91.00,3.00,2.00,210.00,14.635,-90.541
6,155844,Zona 4 de Mixco,5/4/20,5/4/20,0.00,3.00,2.00,280.00,14.657,-90.556
11,150000,Zona 15,10/14/19,5/17/20,216.00,1.00,2.00,72.00,14.595,-90.495
9,119481,Zona 2,10/14/19,5/4/20,203.00,2.00,1.00,25.00,14.659,-90.51
9,91648,Zona 15,10/25/19,5/4/20,192.00,1.00,1.00,55.00,14.595,-90.495
9,240000,Zona 9,10/31/19,5/4/20,186.00,4.00,4.00,325.00,14.595,-90.521
9,370000,Zona 9,10/31/19,5/4/20,186.00,4.00,4.00,430.00,14.595,-90.521
9,335000,Zona 9,10/31/19,5/4/20,186.00,3.00,3.00,350.00,14.595,-90.521
13,160000,Zona 9,8/28/19,5/4/20,250.00,5.00,3.00,240.00,14.595,-90.521
11,129221,Zona 4,5/2/20,5/2/20,0.00,5.00,2.00,108.00,14.619,-90.516
8,385000,Zona 1,5/2/20,5/2/20,0.00,3.00,5.00,250.00,14.63,-90.515
11,123377,,1/30/20,5/2/20,93.00,2.00,2.00,88.00,14.634,-90.506
6,194000,Zona 1,5/2/20,5/2/20,0.00,2.00,2.00,100.00,14.63,-90.515
6,495000,Zona 10,5/1/20,5/1/20,0.00,3.00,3.00,455.00,14.595,-90.504
